czas,bzdura,x,y,z
6.515504,ankieta PRZED_średni_średnia ilość informacji,0.00, 2.95, 0.00
7.851359,False,0.00, 2.95, 0.00
7.851359,location,0.00, 2.95, 0.00
8.853141,location,-0.10, 2.17, 2.80
9.08,diamond,-0.09, 2.17, 4.00
9.66,diamond,0.04, 2.17, 6.87
9.85501,location,-0.14, 2.17, 7.75
10.32,diamond,-0.20, 2.17, 10.13
10.85686,location,0.16, 2.17, 12.70
11.02,diamond,0.29, 2.17, 13.60
11.7,diamond,-0.17, 1.92, 16.91
11.85874,location,-0.18, 1.81, 17.61
12.86056,location,-0.53, 1.50, 18.83
13.86244,location,-0.49, 1.34, 19.13
13.97929,jump,-0.47, 1.03, 19.63
14.12,diamond,-0.44, 2.44, 20.43
14.34,diamond,-0.40, 3.74, 21.53
14.76,diamond,-0.30, 4.24, 23.63
14.86428,location,-0.25, 3.96, 24.12
15.2,diamond,-0.05, 1.91, 25.81
15.72,diamond,0.24, 1.32, 28.39
15.86611,location,0.20, 1.32, 29.09
16.32,diamond,0.03, 1.32, 31.39
16.86798,location,0.24, 1.32, 34.04
17.04,diamond,0.36, 1.32, 34.93
17.72,diamond,0.32, 1.32, 38.32
17.86982,location,0.24, 1.32, 39.02
18.38,diamond,-0.12, 1.32, 41.58
18.87171,location,-2.38, 1.32, 42.30
19.78,normal button enter,-6.72, 1.32, 41.06
19.87359,location,-7.08, 1.32, 40.88
19.94,diamond,-7.44, 1.32, 40.69
20.34111,jump,-8.29, 1.32, 40.18
20.42,diamond,-8.29, 2.05, 40.18
20.56,diamond,-8.29, 3.10, 40.18
20.87531,location,-7.72, 4.35, 40.28
21.87725,location,-4.24, 1.32, 37.76
22.68,diamond,-3.59, 1.32, 33.74
22.7,diamond,-3.59, 1.32, 33.64
22.78,diamond,-3.58, 1.32, 33.24
22.8791,location,-3.30, 1.32, 32.96
22.9,diamond,-3.17, 1.32, 32.81
23,diamond,-3.27, 1.32, 32.43
23.19641,jump,-3.66, 1.32, 32.36
23.88,diamond,-6.01, 4.62, 31.81
23.88091,location,-6.01, 4.62, 31.81
23.9,diamond,-6.07, 4.61, 31.72
23.92,diamond,-6.12, 4.59, 31.64
23.94,diamond,-6.16, 4.56, 31.55
24.1,diamond,-6.34, 4.14, 30.77
24.14,diamond,-6.38, 3.98, 30.57
24.36,diamond,-7.18, 4.24, 30.38
24.4,diamond,-7.36, 4.32, 30.46
24.46,diamond,-7.64, 4.46, 30.59
24.48,diamond,-7.73, 4.50, 30.63
24.8827,location,-8.42, 4.89, 29.80
25.88462,location,-8.30, 0.19, 25.13
26.08,diamond,-8.25, -1.81, 24.15
26.72,diamond,-7.37, -2.68, 21.09
26.8864,location,-7.34, -2.68, 20.30
27.46,diamond,-7.41, -2.68, 17.40
27.88832,location,-7.48, -2.68, 15.49
28.89017,location,-6.16, -2.68, 16.27
29.89201,location,-1.85, -2.68, 15.76
30.04,diamond,-1.13, -2.68, 16.04
30.04,diamond,-1.13, -2.68, 16.04
30.06,diamond,-1.08, -2.68, 16.13
30.12,diamond,-0.93, -2.68, 16.39
30.32,diamond,-0.22, -2.68, 16.90
30.32,diamond,-0.22, -2.68, 16.90
30.54,diamond,0.39, -2.68, 15.99
30.56,diamond,0.44, -2.68, 15.91
30.72,diamond,0.73, -2.68, 15.18
30.89383,location,0.69, -2.68, 14.38
30.94,diamond,0.67, -2.68, 14.08
30.94,diamond,0.67, -2.68, 14.08
31.1,diamond,0.62, -2.68, 13.28
31.1,diamond,0.62, -2.68, 13.28
31.14,diamond,0.60, -2.68, 13.08
31.32,diamond,0.31, -2.68, 12.25
31.34,diamond,0.33, -2.68, 12.15
31.38,diamond,0.35, -2.68, 11.95
31.38,diamond,0.35, -2.68, 11.95
31.46,diamond,0.34, -2.68, 11.55
31.89577,location,-0.50, -2.68, 12.77
32.18,diamond,-1.14, -2.68, 14.13
32.89756,location,-3.73, -2.68, 16.18
33.89937,location,-3.96, -2.68, 21.08
34.90125,location,-0.38, -2.68, 23.15
34.92,diamond,-0.29, -2.68, 23.20
35.62,diamond,3.03, -2.68, 23.55
35.90298,location,4.37, -2.68, 23.96
36.36,diamond,6.59, -2.68, 24.47
36.90495,location,7.70, -2.68, 22.50
37.16,diamond,7.84, -2.68, 21.21
37.90671,location,7.75, -2.68, 17.51
37.92,diamond,7.74, -2.68, 17.41
38.72,diamond,8.17, -2.68, 13.65
38.90857,location,7.67, -2.68, 12.92
39.04205,jump,7.00, -2.68, 12.76
39.91045,location,2.79, 0.15, 12.38
40.07742,jump,2.79, -0.18, 12.12
40.91226,location,1.07, 2.92, 12.55
41.9141,location,1.35, 2.08, 17.54
42.91594,location,2.94, -2.68, 22.12
43.41695,jump,1.98, -2.68, 21.72
43.91787,location,1.34, 0.72, 20.07
44.73605,jump,1.32, 0.60, 20.19
44.91969,location,1.76, 2.15, 20.97
45.9215,location,2.68, 1.76, 25.94
46.92337,location,6.31, 1.32, 28.93
47.26,normal button enter,7.27, 1.32, 30.32
47.42,diamond,7.71, 1.32, 31.00
47.70809,jump,8.07, 1.32, 32.31
47.82,diamond,7.90, 2.39, 32.88
47.92519,location,7.59, 3.12, 33.27
48.92706,location,2.97, 2.16, 35.10
49.92892,location,-1.80, 1.32, 36.61
50.93079,location,-6.17, 1.32, 38.90
51.93265,location,-2.93, 1.32, 41.72
52.93444,location,-0.53, 1.31, 46.10
53.93632,location,-0.14, 1.32, 48.46
54.93813,location,0.55, 1.32, 47.84
55.94003,location,3.51, 1.32, 48.42
56.94189,location,5.51, 1.32, 51.51
57.94366,location,8.13, 1.32, 54.93
58.94557,location,11.18, 1.32, 56.07
59.94729,location,14.87, 1.32, 57.24
60.94923,location,13.64, 1.32, 53.65
61.95102,location,16.79, 1.32, 53.25
62.95291,location,17.16, 1.32, 49.55
63.88,red key,16.80, 1.32, 45.37
63.95479,location,16.97, 1.32, 45.28
64.95663,location,17.08, 1.32, 42.96
65.77482,jump,16.04, 1.32, 43.83
65.95843,location,15.16, 2.87, 43.97
66.96032,location,14.64, 2.45, 43.33
67.96217,location,14.58, 1.32, 44.05
68.96405,location,17.37, 1.32, 43.20
69.96571,location,16.61, 1.32, 46.59
70.96768,location,14.27, 1.32, 50.91
71.96955,location,11.83, 1.32, 54.76
72.97144,location,6.94, 1.32, 55.13
73.97318,location,2.44, 1.32, 53.57
74.34,diamond,0.94, 1.32, 52.40
74.97493,location,-0.64, 1.32, 53.90
75.1,diamond,-0.40, 1.32, 54.43
75.68,diamond,-2.68, 1.32, 56.13
75.97691,location,-4.06, 1.32, 56.37
76.25999,diamond,-5.56, 1.32, 56.43
76.86,diamond,-8.55, 1.32, 56.25
76.97875,location,-9.05, 1.32, 56.22
77.58,diamond,-12.14, 1.32, 56.30
77.98057,location,-13.89, 1.32, 55.71
78.36,diamond,-14.74, 1.32, 54.03
78.38,diamond,-14.79, 1.32, 53.94
78.54,diamond,-15.16, 1.32, 53.23
78.64,diamond,-15.32, 1.32, 52.76
78.66,diamond,-15.34, 1.32, 52.66
78.9,diamond,-15.46, 1.32, 51.47
78.98238,location,-15.50, 1.32, 51.07
79.16,diamond,-15.58, 1.32, 50.17
79.18,diamond,-15.59, 1.32, 50.07
79.34,diamond,-15.67, 1.32, 49.28
79.34,diamond,-15.67, 1.32, 49.28
79.36,diamond,-15.68, 1.32, 49.18
79.56,diamond,-15.72, 1.32, 48.18
79.58,diamond,-15.70, 1.32, 48.08
79.98424,location,-15.40, 1.32, 46.11
80,diamond,-15.39, 1.32, 46.01
80,diamond,-15.39, 1.32, 46.01
80.16,diamond,-15.36, 1.32, 45.21
80.28,diamond,-15.56, 1.32, 44.66
80.3,diamond,-15.63, 1.32, 44.58
80.32,diamond,-15.70, 1.32, 44.51
80.32,diamond,-15.70, 1.32, 44.51
80.38,diamond,-15.93, 1.32, 44.33
80.4,diamond,-16.02, 1.32, 44.27
80.92,diamond,-18.46, 1.29, 43.56
80.93999,diamond,-18.56, 1.29, 43.57
80.98611,location,-18.76, 1.29, 43.57
81.08,diamond,-19.26, 1.29, 43.59
81.1,diamond,-19.36, 1.29, 43.59
81.12,diamond,-19.46, 1.29, 43.59
81.3,diamond,-20.36, 1.29, 43.61
81.32,diamond,-20.46, 1.29, 43.62
81.66,diamond,-22.13, 1.32, 43.84
81.68,diamond,-22.22, 1.32, 43.87
81.78,diamond,-22.70, 1.32, 44.03
81.8,diamond,-22.79, 1.32, 44.06
81.82,diamond,-22.89, 1.32, 44.09
81.988,location,-23.64, 1.32, 44.36
82,diamond,-23.72, 1.32, 44.41
82.02,diamond,-23.80, 1.32, 44.48
82.02,diamond,-23.80, 1.32, 44.48
82.4,diamond,-24.35, 1.32, 46.28
82.42,diamond,-24.36, 1.32, 46.38
82.62,diamond,-24.46, 1.32, 47.38
82.62,diamond,-24.46, 1.32, 47.38
82.64,diamond,-24.47, 1.32, 47.48
82.82,diamond,-24.54, 1.32, 48.37
82.84,diamond,-24.53, 1.32, 48.47
82.98985,location,-24.42, 1.32, 49.16
83.18,diamond,-24.25, 1.32, 50.15
83.2,diamond,-24.24, 1.32, 50.25
83.32,diamond,-24.19, 1.32, 50.85
83.36,diamond,-24.18, 1.32, 51.05
83.36,diamond,-24.18, 1.32, 51.05
83.5,diamond,-24.12, 1.32, 51.74
83.5,diamond,-24.12, 1.32, 51.74
83.58,diamond,-24.10, 1.32, 52.14
83.6,diamond,-24.11, 1.32, 52.24
83.99167,location,-24.95, 1.32, 53.92
84.14,lock unlockedredKey,-25.29, 1.32, 54.58
84.99361,location,-25.46, 1.32, 55.39
85.9954,location,-25.46, 1.32, 55.39
86.99713,location,-29.21, 1.32, 56.19
87.2,hold button enter,-30.29, 1.32, 56.00
87.99908,location,-30.39, 1.32, 55.99
88.92,diamond,-30.99, 1.32, 56.05
89.00095,location,-31.39, 1.32, 56.06
89.5,hold button leave,-33.89, 1.32, 56.08
89.60188,jump,-34.39, 1.29, 56.08
89.74,diamond,-35.08, 2.51, 56.17
89.9,diamond,-35.87, 3.54, 56.30
90.00277,location,-36.37, 3.99, 56.37
90.24,diamond,-37.55, 4.45, 56.55
90.6,gun,-39.34, 4.20, 56.55
90.8,diamond,-40.34, 4.80, 56.53
91.00458,location,-40.54, 5.40, 56.53
91.16,diamond,-40.54, 5.90, 56.53
92.00629,location,-42.76, 1.29, 58.77
92.17344,shoot,-43.25, 1.29, 59.41
92.48,pole sphere activated,-44.38, 1.29, 60.53
93.00826,location,-45.07, 1.29, 62.09
94.01006,location,-40.21, 1.32, 62.66
94.21047,shoot,-39.23, 1.32, 62.84
94.52,pole sphere activated,-37.65, 1.32, 63.10
95.01189,location,-35.91, 1.29, 61.66
96.01378,location,-32.85, 1.32, 59.15
96.42,hold button enter,-33.39, 1.32, 57.15
96.51468,jump,-33.41, 1.32, 56.75
96.56,diamond,-33.43, 1.89, 56.45
96.57999,hold button leave,-33.43, 2.07, 56.35
97.0156,location,-33.62, 4.41, 54.26
98.01745,location,-30.72, 1.32, 52.76
98.43999,hold button enter,-31.83, 1.32, 54.60
99.01919,location,-31.31, 1.32, 56.06
99.25999,hold button leave,-30.13, 1.32, 55.52
100.0212,location,-26.51, 1.32, 55.85
101.023,location,-22.32, 1.32, 53.52
101.26,diamond,-21.18, 1.29, 53.16
101.28,diamond,-21.09, 1.29, 53.14
101.38,diamond,-20.59, 1.29, 53.07
101.56,diamond,-19.70, 1.29, 52.99
101.6,diamond,-19.50, 1.29, 52.97
101.98,diamond,-17.67, 1.32, 53.01
102,diamond,-17.60, 1.32, 53.08
102.0249,location,-17.52, 1.32, 53.14
103.0266,location,-16.25, 1.32, 52.89
103.52,diamond,-16.22, 1.32, 52.60
104.0285,location,-16.49, 1.32, 50.12
104.22,diamond,-17.00, 1.32, 49.27
104.22,diamond,-17.00, 1.32, 49.27
104.88,diamond,-18.55, 1.29, 46.80
105.0304,location,-19.12, 1.29, 46.40
105.12,diamond,-19.51, 1.29, 46.08
105.14,diamond,-19.58, 1.29, 46.02
106.0322,location,-23.35, 1.32, 43.90
106.08,diamond,-23.64, 1.32, 43.83
107.034,location,-24.14, 1.32, 43.81
107.84,diamond,-21.53, 1.29, 46.75
107.88,diamond,-21.64, 1.29, 46.92
108.0358,location,-22.28, 1.32, 47.00
108.14,diamond,-22.77, 1.32, 47.34
108.16,diamond,-22.85, 1.32, 47.41
108.9,diamond,-21.64, 1.29, 48.40
108.92,diamond,-21.54, 1.29, 48.42
108.98,diamond,-21.24, 1.29, 48.39
109.0378,location,-21.05, 1.29, 48.35
109.22,diamond,-20.28, 1.29, 47.82
110,diamond,-19.12, 1.29, 48.08
110.02,diamond,-19.17, 1.29, 48.17
110.0396,location,-19.17, 1.29, 48.17
110.42,diamond,-19.94, 1.29, 49.99
110.44,diamond,-20.00, 1.29, 50.08
110.68,diamond,-20.68, 1.29, 51.06
110.7,diamond,-20.74, 1.29, 51.14
111.0415,location,-21.79, 1.29, 52.46
112.0433,location,-25.75, 1.32, 55.16
113.0451,location,-30.08, 1.32, 57.00
113.4792,shoot,-31.47, 1.32, 58.56
114.0471,location,-33.59, 1.32, 60.54
115.0489,location,-37.25, 1.32, 63.95
115.68,diamond,-38.87, 1.32, 66.61
115.8,diamond,-39.00, 1.32, 67.19
115.92,diamond,-39.13, 1.32, 67.78
116.04,diamond,-39.26, 1.32, 68.36
116.0507,location,-39.26, 1.32, 68.36
116.2,diamond,-39.44, 1.32, 69.15
116.34,diamond,-39.57, 1.32, 69.83
116.46,diamond,-39.60, 1.32, 70.43
116.62,diamond,-39.59, 1.32, 71.23
116.76,diamond,-39.57, 1.32, 71.93
116.92,diamond,-39.54, 1.32, 72.73
117.0525,location,-39.52, 1.32, 73.33
117.06,diamond,-39.51, 1.32, 73.43
117.2,diamond,-39.49, 1.32, 74.13
117.36,diamond,-39.46, 1.32, 74.93
117.52,diamond,-39.43, 1.32, 75.73
117.66,diamond,-39.41, 1.32, 76.43
117.8,diamond,-39.39, 1.32, 77.13
117.96,diamond,-39.36, 1.32, 77.93
118.0545,location,-39.34, 1.32, 78.33
118.12,diamond,-39.33, 1.32, 78.73
118.26,diamond,-39.32, 1.32, 79.43
118.4,diamond,-39.39, 1.32, 80.12
118.54,diamond,-39.46, 1.32, 80.82
118.7,diamond,-39.54, 1.32, 81.62
118.82,diamond,-39.60, 1.32, 82.21
118.98,diamond,-39.68, 1.32, 83.01
119.0563,location,-39.71, 1.32, 83.31
120.0582,location,-39.95, 1.32, 88.30
121.06,location,-41.00, 1.33, 90.33
