czas,bzdura,x,y,z
19.71996,ankieta PRZED_wysoki_średnia ilość informacji,0.00, 2.95, 0.00
30.30326,True,0.00, 2.95, 0.00
30.30326,location,0.00, 2.95, 0.00
31.31989,location,0.00, 2.17, 0.00
32.33657,location,0.00, 2.17, 0.00
33.3699,location,0.00, 2.17, 0.00
34.38655,location,0.00, 2.17, 0.00
35.40318,location,-0.28, 2.17, 3.39
35.54,diamond,-0.38, 2.19, 4.08
36.41987,location,-0.24, 2.17, 6.79
36.42,diamond,-0.25, 2.17, 6.89
37.41989,location,0.65, 2.28, 9.78
37.5,diamond,0.60, 2.26, 10.28
38.22,diamond,0.60, 2.19, 13.75
38.4532,location,0.49, 2.17, 14.84
39.24,diamond,0.07, 1.74, 16.92
39.45321,location,-0.03, 1.60, 17.92
39.4866,jump,-0.05, 1.53, 18.12
39.7,diamond,-0.16, 3.29, 19.21
40.14,diamond,-0.37, 4.62, 21.40
40.48649,location,-0.50, 3.66, 23.10
41.16,diamond,-0.47, -2.61, 25.35
41.51984,location,-0.72, -2.68, 25.36
42.55313,location,1.76, -2.68, 23.73
42.8,diamond,2.90, -2.68, 24.12
43.55315,location,6.39, -2.68, 24.23
43.58,diamond,6.59, -2.68, 24.21
44.32,diamond,7.43, -2.68, 21.14
44.56987,location,8.09, -2.68, 20.19
45.12,diamond,8.21, -2.68, 17.49
45.58648,location,8.23, -2.68, 15.30
45.96,diamond,8.65, -2.68, 13.47
46.60313,location,6.25, -2.68, 11.79
47.60318,location,3.75, -2.72, 10.89
48.61983,location,3.70, -2.76, 11.37
49.6365,location,4.86, -2.68, 15.33
50.63651,location,3.22, -2.68, 19.85
51.65311,location,-0.01, -2.68, 21.84
52.42,diamond,-3.07, -2.68, 23.62
52.66975,location,-4.23, -2.68, 23.57
53.3,diamond,-7.05, -2.68, 24.06
53.66982,location,-8.34, -2.68, 23.24
54.08,diamond,-8.04, -2.68, 21.18
54.7031,location,-8.10, -2.68, 18.30
54.88,diamond,-7.83, -2.68, 17.44
55.68,diamond,-7.86, -2.68, 13.73
55.73648,location,-7.89, -2.68, 13.54
56.76981,location,-4.22, -2.68, 11.72
57.80304,location,-4.88, -2.68, 11.71
58.43642,jump,-5.91, -2.68, 14.55
58.80314,location,-4.75, -0.02, 16.05
59.83644,location,-1.63, -2.68, 14.76
59.84,diamond,-1.53, -2.68, 14.77
59.84,diamond,-1.53, -2.68, 14.77
60,diamond,-0.73, -2.68, 14.80
60.1,diamond,-0.30, -2.68, 14.98
60.12,diamond,-0.21, -2.68, 15.03
60.16,diamond,-0.03, -2.68, 15.12
60.54,diamond,0.21, -2.68, 13.94
60.56,diamond,0.22, -2.68, 13.84
60.56,diamond,0.22, -2.68, 13.84
60.56,diamond,0.22, -2.68, 13.84
60.66,diamond,0.31, -2.68, 13.35
60.68641,jump,0.32, -2.68, 13.25
60.85307,location,0.46, -1.77, 12.46
60.88,diamond,0.49, -1.77, 12.27
60.94,diamond,0.54, -1.77, 11.97
61,diamond,0.59, -1.77, 11.67
61.04,diamond,0.62, -1.78, 11.48
61.2,diamond,0.25, -1.78, 10.97
61.85307,location,-0.23, -2.68, 10.90
62.83638,jump,-0.24, -2.68, 15.55
62.88639,location,-0.18, -2.11, 15.84
62.9,diamond,-0.15, -1.93, 15.94
62.98,diamond,-0.05, -1.67, 16.33
62.98,diamond,-0.05, -1.67, 16.33
63.48,diamond,0.32, -1.62, 16.68
63.9031,location,0.96, -2.68, 16.93
64.63638,jump,-2.14, -2.68, 15.46
64.93643,location,-3.09, -0.40, 14.30
65.96968,location,-2.19, -1.35, 13.76
66.26974,jump,-2.19, -1.35, 13.76
67.00308,location,-2.56, 1.24, 12.02
67.63641,jump,-2.59, 1.09, 10.45
68.03633,location,-1.57, 3.83, 8.79
69.03634,location,-0.73, 2.32, 10.22
70.03641,location,-1.17, 2.28, 14.95
71.01969,jump,-1.75, 0.94, 19.67
71.06972,location,-1.75, 1.50, 19.97
71.93999,diamond,-0.92, 3.55, 24.06
72.06973,location,-0.47, 2.93, 24.42
72.38,diamond,-0.10, 1.32, 25.97
72.45298,jump,-0.04, 1.32, 26.27
73.10303,location,0.08, 4.47, 27.42
73.7,diamond,-0.14, 1.70, 28.81
74.10304,location,0.21, 1.32, 29.47
74.5,diamond,0.15, 1.32, 31.37
75.11964,location,-0.01, 1.32, 34.18
75.24,diamond,-0.26, 1.32, 34.83
76,diamond,0.01, 1.32, 38.34
76.11966,location,-0.11, 1.32, 38.79
76.66,diamond,0.02, 1.32, 41.57
77.13634,location,-1.52, 1.32, 41.50
78.1697,location,-2.01, 1.32, 36.55
78.78,diamond,-2.99, 1.32, 33.83
78.88,diamond,-3.04, 1.32, 33.33
78.9,diamond,-3.05, 1.32, 33.23
78.98,diamond,-3.09, 1.32, 32.83
79.06,diamond,-3.14, 1.32, 32.43
79.20303,location,-3.26, 1.32, 31.74
79.68634,jump,-3.70, 1.32, 32.90
80.21965,location,-4.55, 4.30, 33.08
80.68,diamond,-6.07, 3.61, 31.96
80.86,diamond,-6.60, 3.85, 32.64
81.04,diamond,-7.42, 4.25, 32.89
81.12,diamond,-7.80, 4.45, 32.77
81.23629,location,-8.17, 4.66, 32.46
81.25999,diamond,-8.12, 4.63, 32.27
81.3,diamond,-8.06, 4.61, 32.07
81.36,diamond,-7.97, 4.58, 31.79
81.38,diamond,-7.94, 4.57, 31.69
81.48627,jump,-8.18, 4.70, 31.25
81.52,diamond,-8.27, 5.07, 31.08
81.54,diamond,-8.32, 5.25, 30.99
81.56,diamond,-8.37, 5.42, 30.90
81.6,diamond,-8.47, 5.75, 30.73
81.98,diamond,-9.16, 7.00, 31.73
82.26968,location,-9.34, 6.88, 32.52
82.84,diamond,-7.70, 4.48, 30.89
82.84,diamond,-7.70, 4.48, 30.89
83.30299,location,-7.48, 4.40, 30.06
83.33633,jump,-7.48, 4.40, 30.06
83.38,diamond,-7.48, 4.96, 30.06
83.48,diamond,-7.48, 5.77, 30.06
84.24,diamond,-7.33, 6.46, 31.15
84.33633,location,-7.18, 6.10, 31.52
85.16965,jump,-7.61, 4.35, 32.89
85.36959,location,-7.96, 5.98, 33.82
86.36965,location,-5.59, 4.72, 34.75
87.40298,location,-2.24, 1.32, 35.47
87.80293,jump,-0.37, 1.32, 34.75
88.43631,location,2.66, 4.39, 34.13
89.24,normal button enter,6.46, 1.32, 32.61
89.31956,jump,6.72, 1.32, 32.47
89.38,diamond,7.08, 2.06, 32.29
89.43999,diamond,7.35, 2.55, 32.16
89.45292,location,7.35, 2.55, 32.16
89.52,diamond,7.63, 3.12, 32.04
90.45295,location,8.63, 2.78, 33.30
91.46957,location,3.95, 1.30, 33.28
92.48627,location,0.09, 1.32, 35.04
92.61962,jump,-0.51, 1.32, 35.10
93.5029,location,-3.84, 4.30, 37.40
94.2,normal button enter,-6.95, 1.32, 39.00
94.36,diamond,-7.59, 1.32, 39.48
94.46956,jump,-7.89, 1.32, 39.87
94.50295,location,-8.00, 1.71, 40.04
94.54,diamond,-8.00, 2.06, 40.04
94.66,diamond,-8.00, 3.00, 40.04
95.51956,location,-5.63, 3.55, 40.00
96.10287,jump,-3.05, 1.32, 39.03
96.53622,location,-2.24, 4.05, 40.67
97.55285,location,-2.75, 1.32, 41.61
98.56957,location,-4.35, 1.32, 41.45
98.9195,jump,-3.76, 1.32, 42.96
99.58619,location,-1.12, 4.74, 44.68
100.5862,location,-0.44, 1.32, 47.95
100.7196,jump,-0.59, 1.32, 48.53
101.6029,location,-1.58, 4.36, 47.29
102.6196,location,-3.83, 1.32, 46.90
103.6362,location,-2.31, 1.32, 48.06
103.7862,jump,-1.52, 1.32, 48.18
104.6362,location,-0.75, 4.11, 51.25
104.84,diamond,0.34, 3.10, 51.31
105.6529,location,-0.26, 1.32, 54.06
105.74,diamond,-0.33, 1.32, 54.55
106.4028,jump,0.93, 1.32, 56.47
106.6695,location,2.23, 3.30, 56.50
107.6695,location,7.07, 1.47, 57.19
107.7362,jump,7.37, 1.32, 57.21
108.6861,location,12.00, 3.96, 56.99
109.3528,jump,14.10, 1.32, 55.73
109.7028,location,15.15, 3.91, 54.42
110.7028,location,16.42, 1.32, 49.62
110.7528,jump,16.45, 1.32, 49.42
111.7195,location,16.79, 3.91, 44.64
111.84,red key,16.83, 3.13, 44.14
112.7361,location,17.07, 1.32, 43.94
113.1361,jump,15.67, 1.32, 45.37
113.7362,location,15.31, 4.59, 48.22
114.7362,location,13.35, 1.32, 52.54
114.7528,jump,13.34, 1.32, 52.64
115.7528,location,8.83, 3.72, 54.20
116.1694,jump,6.99, 1.32, 54.81
116.7695,location,4.01, 4.53, 54.48
117.6361,jump,0.27, 1.32, 55.80
117.786,location,-0.46, 2.72, 55.47
118.74,diamond,-3.14, 3.05, 55.93
118.7861,location,-3.21, 2.77, 56.12
119.36,diamond,-5.62, 1.32, 56.28
119.7195,jump,-7.28, 1.32, 56.11
119.8027,location,-7.74, 2.24, 56.30
120.8,diamond,-9.08, 3.24, 56.20
120.8194,location,-9.08, 3.24, 56.20
121.48,diamond,-12.18, 1.32, 56.30
121.7027,jump,-13.25, 1.32, 56.05
121.8195,location,-13.73, 2.22, 55.92
122.78,diamond,-14.79, 3.10, 54.03
122.8361,location,-14.79, 2.83, 54.03
122.96,diamond,-14.84, 1.69, 53.84
123.1,diamond,-15.27, 1.32, 53.34
123.24,diamond,-15.45, 1.32, 52.72
123.26,diamond,-15.44, 1.32, 52.62
123.82,diamond,-15.23, 1.32, 49.83
123.8361,location,-15.23, 1.32, 49.83
123.84,diamond,-15.23, 1.32, 49.73
123.92,diamond,-15.24, 1.32, 49.33
123.92,diamond,-15.24, 1.32, 49.33
124,diamond,-15.24, 1.32, 48.93
124.0528,jump,-15.25, 1.32, 48.73
124.24,diamond,-15.25, 3.00, 47.73
124.8527,location,-15.21, 4.44, 46.83
125.26,diamond,-15.27, 2.23, 46.03
125.32,diamond,-15.31, 1.70, 45.73
125.42,diamond,-15.39, 1.32, 45.24
125.56,diamond,-15.51, 1.32, 44.55
125.58,diamond,-15.53, 1.32, 44.45
125.66,diamond,-15.76, 1.32, 44.13
125.68,diamond,-15.84, 1.32, 44.08
125.76,diamond,-16.21, 1.32, 43.92
125.8528,location,-16.58, 1.32, 43.77
126.22,diamond,-18.36, 1.29, 43.61
126.26,diamond,-18.55, 1.29, 43.69
126.4,diamond,-19.22, 1.29, 43.89
126.44,diamond,-19.42, 1.29, 43.91
126.46,diamond,-19.52, 1.29, 43.92
126.4861,jump,-19.62, 1.29, 43.91
126.6,diamond,-20.22, 2.36, 43.91
126.8694,location,-21.52, 3.93, 43.89
127.58,diamond,-22.31, 3.00, 43.81
127.7,diamond,-22.91, 2.09, 43.73
127.72,diamond,-23.01, 1.91, 43.72
127.82,diamond,-23.50, 1.32, 43.63
127.84,diamond,-23.60, 1.32, 43.61
127.8694,location,-23.70, 1.32, 43.59
128.1,diamond,-24.69, 1.32, 43.97
128.12,diamond,-24.71, 1.32, 44.07
128.4,diamond,-24.24, 1.32, 45.36
128.58,diamond,-24.12, 1.32, 46.22
128.6,diamond,-24.14, 1.32, 46.32
128.7361,jump,-24.28, 1.32, 46.90
128.82,diamond,-24.39, 2.24, 47.39
128.84,diamond,-24.41, 2.40, 47.49
128.8861,location,-24.45, 2.72, 47.69
129.78,diamond,-24.75, 3.44, 50.87
129.9027,location,-24.75, 2.62, 50.97
129.96,diamond,-24.76, 2.12, 51.27
129.98,diamond,-24.77, 1.95, 51.37
130.04,diamond,-24.77, 1.38, 51.67
130.06,diamond,-24.77, 1.32, 51.77
130.46,diamond,-24.03, 1.32, 53.22
130.48,diamond,-23.98, 1.32, 53.14
130.7,diamond,-23.54, 1.32, 52.13
130.72,diamond,-23.47, 1.32, 52.06
130.9194,location,-22.60, 1.32, 51.86
130.98,diamond,-22.23, 1.32, 51.91
130.98,diamond,-22.23, 1.32, 51.91
131.0194,jump,-22.16, 1.32, 51.99
131.9194,location,-19.73, 4.24, 52.23
132.04,diamond,-19.03, 3.60, 52.29
132.36,diamond,-17.44, 1.32, 52.41
132.38,diamond,-17.34, 1.32, 52.42
132.38,diamond,-17.34, 1.32, 52.42
132.4,diamond,-17.24, 1.32, 52.44
132.9361,location,-16.93, 1.32, 53.30
133.36,diamond,-18.19, 1.29, 52.16
133.66,diamond,-19.30, 1.29, 51.43
133.66,diamond,-19.30, 1.29, 51.43
133.68,diamond,-19.40, 1.29, 51.43
133.9527,location,-20.54, 1.29, 51.05
134.56,diamond,-22.96, 1.32, 49.38
134.56,diamond,-22.96, 1.32, 49.38
134.58,diamond,-23.03, 1.32, 49.32
134.58,diamond,-23.03, 1.32, 49.32
134.88,diamond,-24.27, 1.32, 49.01
134.9194,jump,-24.30, 1.32, 48.91
134.9694,location,-24.36, 1.89, 48.62
135.986,location,-21.50, 3.37, 49.17
136,diamond,-21.40, 3.24, 49.20
136.14,diamond,-21.05, 2.18, 48.65
136.14,diamond,-21.05, 2.18, 48.65
136.16,diamond,-20.97, 2.01, 48.59
136.2,diamond,-20.80, 1.64, 48.48
136.34,diamond,-20.18, 1.29, 48.28
136.34,diamond,-20.18, 1.29, 48.28
136.36,diamond,-20.08, 1.29, 48.29
136.36,diamond,-20.08, 1.29, 48.29
136.72,diamond,-18.29, 1.29, 48.36
136.74,diamond,-18.19, 1.29, 48.37
136.986,location,-17.02, 1.32, 48.26
137.02,diamond,-16.90, 1.32, 48.10
137.2027,jump,-16.80, 1.32, 47.27
138.0027,location,-16.29, 4.32, 45.42
138.2,diamond,-16.56, 3.57, 45.28
138.92,diamond,-19.10, 1.29, 45.30
138.94,diamond,-19.20, 1.29, 45.26
139.0193,location,-19.47, 1.29, 45.15
139.18,diamond,-20.33, 1.29, 44.87
139.2194,jump,-20.42, 1.29, 44.85
140.036,location,-22.67, 4.45, 44.73
140.22,diamond,-23.20, 3.69, 45.01
141.036,location,-21.54, 1.29, 47.36
141.98,diamond,-20.63, 1.29, 52.06
142,diamond,-20.60, 1.29, 52.15
142.0526,location,-20.56, 1.29, 52.35
142.1527,jump,-20.45, 1.29, 52.84
