czas,bzdura,x,y,z
10.77341,ankieta PRZED_wysoki_wszystkie informacje,0.00, 2.95, 0.00
14.02945,False,0.00, 2.95, 0.00
14.02945,location,0.00, 2.95, 0.00
15.03121,location,0.04, 2.17, 2.30
15.36,diamond,-0.10, 2.17, 3.99
15.94,diamond,-0.12, 2.17, 6.87
16.03305,location,0.05, 2.17, 7.23
16.64,diamond,0.58, 2.26, 10.27
17.03485,location,-0.43, 2.21, 11.82
17.36,diamond,-0.09, 2.17, 13.48
18.03669,location,0.42, 2.17, 15.75
19.03856,location,2.78, 0.98, 12.51
20.04,diamond,6.97, -2.68, 12.06
20.04048,location,6.97, -2.68, 12.06
20.76,diamond,7.85, -2.68, 15.32
21.04231,location,7.68, -2.68, 16.70
21.54,diamond,7.75, -2.68, 19.07
22.04416,location,8.12, -2.68, 21.34
22.38,diamond,7.90, -2.68, 22.92
23.0461,location,5.47, -2.68, 23.88
23.14,diamond,4.97, -2.68, 23.83
23.98,diamond,0.96, -2.68, 24.26
24.04783,location,0.76, -2.68, 24.47
24.84,diamond,-3.05, -2.68, 23.88
25.04969,location,-3.96, -2.68, 24.00
25.74,diamond,-7.28, -2.68, 24.65
26.0515,location,-7.47, -2.68, 23.29
26.5,diamond,-7.73, -2.68, 21.17
27.0534,location,-7.91, -2.68, 18.58
27.3,diamond,-8.21, -2.68, 17.41
28.05529,location,-7.56, -2.68, 13.77
28.06,diamond,-7.54, -2.68, 13.67
29.05719,location,-6.88, -2.68, 16.26
30.059,location,-3.12, -2.68, 15.83
30.46,diamond,-1.29, -2.68, 16.26
30.46,diamond,-1.29, -2.68, 16.26
30.82,diamond,-0.11, -2.68, 17.55
30.84,diamond,-0.01, -2.68, 17.56
31,diamond,0.58, -2.68, 17.22
31.06091,location,0.61, -2.68, 16.93
31.3,diamond,0.24, -2.68, 15.89
31.3,diamond,0.24, -2.68, 15.89
31.32,diamond,0.25, -2.68, 15.79
31.32,diamond,0.25, -2.68, 15.79
31.42,diamond,0.32, -2.68, 15.29
31.7,diamond,0.98, -2.68, 14.12
31.72,diamond,1.04, -2.68, 14.04
31.92,diamond,0.98, -2.68, 13.07
32.06274,location,0.89, -2.68, 12.38
32.08,diamond,0.88, -2.68, 12.28
32.08,diamond,0.88, -2.68, 12.28
32.24,diamond,0.77, -2.68, 11.48
33.06461,location,0.71, -2.68, 10.99
33.56,diamond,0.47, -2.68, 10.73
