czas,bzdura,x,y,z
8.63004,ankieta PRZED_niski_wszystkie informacje,0.00, 2.95, 0.00
10.31874,True,0.00, 2.95, 0.00
10.31874,location,0.00, 2.95, 0.00
11.32551,location,-0.09, 2.17, 1.80
11.76,diamond,0.00, 2.17, 4.00
12.33209,location,0.04, 2.17, 6.79
12.34,diamond,0.04, 2.17, 6.89
12.98,diamond,-0.03, 2.17, 10.09
13.0392,jump,-0.03, 2.17, 10.29
13.33867,location,-0.06, 4.52, 11.79
14.34522,location,-0.22, 2.40, 16.89
14.36,diamond,-0.22, 2.21, 16.99
14.63639,jump,-0.27, 1.67, 18.29
14.82,diamond,-0.30, 3.37, 19.29
15.24,diamond,-0.37, 5.01, 21.39
15.35178,location,-0.39, 5.00, 21.89
15.7,diamond,-0.45, 3.76, 23.69
16.35836,location,-1.07, -2.17, 25.24
16.42,diamond,-0.80, -2.68, 25.01
17.36491,location,0.62, -2.68, 22.75
17.42312,jump,0.51, -2.68, 22.47
18.37148,location,0.04, 0.69, 19.44
18.52125,jump,0.04, 0.69, 19.44
19.37808,location,0.34, 3.64, 17.26
19.72,diamond,0.39, 2.17, 15.56
20.38464,location,0.02, 2.17, 14.12
21.39117,location,-0.11, 2.17, 15.61
22.39774,location,-0.89, 1.66, 18.73
22.53915,jump,-0.99, 1.34, 19.42
23.40433,location,-1.65, 4.39, 23.77
24.4109,location,-2.24, 1.32, 27.42
25.41743,location,-2.24, 1.32, 27.42
26.42397,location,-2.24, 1.32, 27.42
27.43061,location,-2.24, 1.32, 27.42
28.43713,location,-2.24, 1.32, 27.42
29.12,diamond,-0.71, 1.32, 28.55
29.44367,location,-0.54, 1.32, 29.14
30.45025,location,0.31, 1.32, 31.35
30.46,diamond,0.28, 1.32, 31.44
31.45683,location,0.09, 1.32, 32.01
32.46336,location,0.09, 1.32, 32.01
33.46995,location,-0.26, 1.32, 34.45
33.56,diamond,-0.41, 1.32, 34.93
34.47649,location,-4.12, 1.32, 37.14
34.58467,jump,-4.61, 1.32, 37.49
35.48307,location,-6.73, 4.12, 39.16
35.62,diamond,-7.29, 3.46, 39.58
35.66,diamond,-7.45, 3.22, 39.70
35.66,diamond,-7.45, 3.22, 39.70
35.8,normal button enter,-7.45, 2.18, 39.70
36.48964,location,-7.45, 1.32, 39.70
37.4962,location,-7.30, 1.32, 42.09
38.50275,location,-4.24, 1.32, 40.34
39.50936,location,-0.01, 1.32, 37.72
40.06667,jump,2.31, 1.30, 36.16
40.51589,location,4.14, 4.20, 34.94
41.34,normal button enter,6.72, 1.67, 32.04
41.42,diamond,7.12, 1.32, 32.08
41.52242,location,7.60, 1.32, 32.22
42.529,location,5.28, 1.30, 35.26
43.53556,location,1.57, 1.32, 37.91
43.78,diamond,0.93, 1.32, 39.03
44.4,diamond,0.87, 1.32, 42.05
44.54211,location,0.38, 1.32, 42.55
44.91647,jump,0.24, 1.32, 44.35
45.5487,location,-0.08, 3.40, 47.45
46.28,diamond,-0.08, 1.32, 51.02
46.55525,location,0.12, 1.32, 52.29
46.98,diamond,-0.61, 1.32, 54.36
47.54,diamond,-2.70, 1.32, 56.12
47.56181,location,-2.80, 1.32, 56.11
48.14,diamond,-5.69, 1.32, 55.88
48.56839,location,-7.79, 1.32, 55.83
48.72,diamond,-8.59, 1.32, 55.84
49.48,diamond,-12.19, 1.32, 56.04
49.57496,location,-12.59, 1.32, 56.09
